Date/Time,InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Hourly)
 01/01  01:00:00,310200840,500660214.6
 01/01  02:00:00,310200840,500651551.9
 01/01  03:00:00,310200840,500626074.3
 01/01  04:00:00,310200840,500590977.7
 01/01  05:00:00,310200840,501301367
 01/01  06:00:00,310200840,501206180.5
 01/01  07:00:00,310200840,501280961.4
 01/01  08:00:00,283866779.5,449493601.3
 01/01  09:00:00,205538061.6,358655530.4
 01/01  10:00:00,192146143.5,345462382.1
 01/01  11:00:00,187646026.9,341018461.1
 01/01  12:00:00,187006930.9,342871345.7
 01/01  13:00:00,187232870.6,346445044
 01/01  14:00:00,187678112.2,349488657.3
 01/01  15:00:00,190411195.2,361854574.7
 01/01  16:00:00,197147280.7,366576475.5
 01/01  17:00:00,288606166.4,448301040.3
 01/01  18:00:00,310200840,501346632.1
 01/01  19:00:00,310200840,501287327.7
 01/01  20:00:00,310200840,502014256.9
 01/01  21:00:00,310200840,501870471.1
 01/01  22:00:00,310200840,501390988.6
 01/01  23:00:00,310200840,500768746.7
 01/01  24:00:00,310200840,503227134.8
 01/02  01:00:00,310200840,500699025.9
 01/02  02:00:00,310200840,500660347.8
 01/02  03:00:00,310200840,500583891.4
 01/02  04:00:00,310200840,500516371.6
 01/02  05:00:00,310200840,501272962.1
 01/02  06:00:00,310200840,501269103.3
 01/02  07:00:00,310200840,547345845.9
 01/02  08:00:00,282735689.6,494251653.7
 01/02  09:00:00,204402212.2,631162222.8
 01/02  10:00:00,190605594,616756635.5
 01/02  11:00:00,187330556.7,636412219.1
 01/02  12:00:00,187255477.6,651786230.3
 01/02  13:00:00,187511939.5,654445986.1
 01/02  14:00:00,187129430,640261571
 01/02  15:00:00,190358034.3,630149209.3
 01/02  16:00:00,196316636.9,620113461.3
 01/02  17:00:00,289497770.5,714602617.1
 01/02  18:00:00,310200840,542406158.5
 01/02  19:00:00,310200840,542682512.2
 01/02  20:00:00,310200840,543678997.2
 01/02  21:00:00,310200840,543785301.9
 01/02  22:00:00,310200840,501145201.7
 01/02  23:00:00,310200840,500715131.7
 01/02  24:00:00,310200840,503352491.4
 01/03  01:00:00,310200840,500756111.9
 01/03  02:00:00,310200840,500774656.4
 01/03  03:00:00,310200840,500850687.1
 01/03  04:00:00,310200840,500956298.1
 01/03  05:00:00,310200840,504896419.6
 01/03  06:00:00,310200840,504465623.8
 01/03  07:00:00,310200840,547189394.4
 01/03  08:00:00,281536174.6,490595513.6
 01/03  09:00:00,204629959.4,630852775.9
 01/03  10:00:00,190309625.6,620960447.5
 01/03  11:00:00,187234506.5,631885699.1
 01/03  12:00:00,186738642.2,649026451.4
 01/03  13:00:00,187221615.2,670440922.6
 01/03  14:00:00,187471629.3,668768674.8
 01/03  15:00:00,190696880.7,673661975.4
 01/03  16:00:00,198382471.6,651002886.9
 01/03  17:00:00,291397241.7,735703614.3
 01/03  18:00:00,310200840,553609904.8
 01/03  19:00:00,310200840,544119240.2
 01/03  20:00:00,310200840,542766969.1
 01/03  21:00:00,310200840,542974545.2
 01/03  22:00:00,310200840,500578382.3
 01/03  23:00:00,310200840,500698576.6
 01/03  24:00:00,310200840,503375130.4
 01/04  01:00:00,310200840,500755516.2
 01/04  02:00:00,310200840,500738391.9
 01/04  03:00:00,310200840,500735393.2
 01/04  04:00:00,310200840,500684437.6
 01/04  05:00:00,310200840,501364044.1
 01/04  06:00:00,310200840,501299248.8
 01/04  07:00:00,310200840,547733085.6
 01/04  08:00:00,283601416.1,501636963.7
 01/04  09:00:00,206603323.7,633771513.7
 01/04  10:00:00,194694733.1,621352372.6
 01/04  11:00:00,188047149.7,628763429.6
 01/04  12:00:00,186419225.8,629362524.8
 01/04  13:00:00,186462047.7,626769195.9
