Date/Time,InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Hourly)
 01/01  01:00:00,77023260,266470365.7
 01/01  02:00:00,77023260,266466962.1
 01/01  03:00:00,77023260,266445338.4
 01/01  04:00:00,77023260,266411742
 01/01  05:00:00,77023260,274150902.1
 01/01  06:00:00,77023260,283921578.8
 01/01  07:00:00,77023260,281016292.9
 01/01  08:00:00,70618668.46,242688146.9
 01/01  09:00:00,51177181.28,203297296.9
 01/01  10:00:00,47741684.1,200059163.5
 01/01  11:00:00,46533845.74,198892109.5
 01/01  12:00:00,46325277.77,201135372.7
 01/01  13:00:00,46364583.25,198689564.5
 01/01  14:00:00,46462903.55,199902370.3
 01/01  15:00:00,47057790.58,209255184.5
 01/01  16:00:00,48619032.99,206907850.6
 01/01  17:00:00,71524185.11,230096655.4
 01/01  18:00:00,77023260,267067444.4
 01/01  19:00:00,77023260,267027843.6
 01/01  20:00:00,77023260,267771044
 01/01  21:00:00,77023260,267640830
 01/01  22:00:00,77023260,267177936.4
 01/01  23:00:00,77023260,266565813.5
 01/01  24:00:00,77023260,269030568.3
 01/02  01:00:00,77023260,266509406.9
 01/02  02:00:00,77023260,266475545.3
 01/02  03:00:00,77023260,266401676.1
 01/02  04:00:00,77023260,273365758.4
 01/02  05:00:00,77023260,277038586
 01/02  06:00:00,77023260,278678269.4
 01/02  07:00:00,77023260,311033115.6
 01/02  08:00:00,372358938.6,581162310.2
 01/02  09:00:00,269356831.1,693225703.5
 01/02  10:00:00,250621361.2,673995532.8
 01/02  11:00:00,245871694.2,691622787.5
 01/02  12:00:00,245605706,706876732
 01/02  13:00:00,245847980.2,709627283.2
 01/02  14:00:00,245272418.8,694949580.7
 01/02  15:00:00,249021736.8,686204499.7
 01/02  16:00:00,256388703.2,677990350.5
 01/02  17:00:00,379879649.8,802248936.7
 01/02  18:00:00,407770200,637083939.5
 01/02  19:00:00,407770200,637223446.3
 01/02  20:00:00,407770200,638095352.4
 01/02  21:00:00,407770200,638119377.3
 01/02  22:00:00,77023260,267062661.6
 01/02  23:00:00,77023260,266616916.1
 01/02  24:00:00,77023260,269246047.4
 01/03  01:00:00,77023260,266646210.6
 01/03  02:00:00,77023260,266660841.4
 01/03  03:00:00,77023260,266726674.9
 01/03  04:00:00,77023260,266818294.1
 01/03  05:00:00,77023260,270911552.5
 01/03  06:00:00,77023260,270154209
 01/03  07:00:00,77023260,311504107.9
 01/03  08:00:00,370744472.3,576489020.1
 01/03  09:00:00,269556884.7,692920472
 01/03  10:00:00,250114552.3,677696545.9
 01/03  11:00:00,245722854.1,687367096.4
 01/03  12:00:00,244862009.1,704004573.1
 01/03  13:00:00,245443721.9,726135468.5
 01/03  14:00:00,245744863.8,725144801.4
 01/03  15:00:00,249407879.5,731205945.3
 01/03  16:00:00,259041314.9,710025376.2
 01/03  17:00:00,382438579.1,822646882.2
 01/03  18:00:00,407770200,647507736.7
 01/03  19:00:00,407770200,638550007.8
 01/03  20:00:00,407770200,637219788.7
 01/03  21:00:00,407770200,637354324.5
 01/03  22:00:00,77023260,266496621.1
 01/03  23:00:00,77023260,266610241.6
 01/03  24:00:00,77023260,269273345.5
 01/04  01:00:00,77023260,266645660.9
 01/04  02:00:00,77023260,266620644.4
 01/04  03:00:00,77023260,266613382.1
 01/04  04:00:00,77023260,266560384
 01/04  05:00:00,77023260,267237275.5
 01/04  06:00:00,77023260,267171716.8
 01/04  07:00:00,77023260,311491728.1
 01/04  08:00:00,373387850.8,587708612.9
 01/04  09:00:00,271922677.6,695958299.4
 01/04  10:00:00,255497384.6,679249078.2
 01/04  11:00:00,246583870.4,684536574.8
 01/04  12:00:00,244420460.3,684728778.8
 01/04  13:00:00,244395241.4,682064852
 01/04  14:00:00,244727638.5,668696261.6
 01/04  15:00:00,248414499,671800890.1
 01/04  16:00:00,260103437.2,676193324.1
 01/04  17:00:00,385973778.3,808047839.8
 01/04  18:00:00,407770200,637301209.1
 01/04  19:00:00,407770200,637462304.6
 01/04  20:00:00,407770200,638355168.9
 01/04  21:00:00,407770200,638420625.1
 01/04  22:00:00,77023260,267064628.3
 01/04  23:00:00,77023260,266573024.9
 01/04  24:00:00,77023260,269215187.9
 01/05  01:00:00,77023260,266598654.6
 01/05  02:00:00,77023260,266584175.7
 01/05  03:00:00,77023260,266511755.8
 01/05  04:00:00,77023260,266420275.7
 01/05  05:00:00,77023260,267160252.7
 01/05  06:00:00,77023260,271217749.5
 01/05  07:00:00,77023260,311564437.8
 01/05  08:00:00,373848763,588783462
 01/05  09:00:00,268692831.3,692938653.7
 01/05  10:00:00,250187035,674110757.8
