Date/Time,InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,407770200.0,598272955.6911852 
 01/01  02:00:00,407770200.0,598263864.6622048 
 01/01  03:00:00,407770200.0,598238716.8778076 
 01/01  04:00:00,407770200.0,598204444.4475296 
 01/01  05:00:00,407770200.0,598916133.4713973 
 01/01  06:00:00,407770200.0,598822657.3025143 
 01/01  07:00:00,407770200.0,598897581.0759525 
 01/01  08:00:00,371169235.3667456,536843582.90267929 
 01/01  09:00:00,265239132.12285064,418394112.27488276 
 01/01  10:00:00,248283219.21848858,401624076.8176957 
 01/01  11:00:00,244432151.50365288,397814150.9353874 
 01/01  12:00:00,243322147.45422907,401958862.1192358 
 01/01  13:00:00,243536564.75100035,405429346.5531521 
 01/01  14:00:00,243965762.22255606,405030976.28405407 
 01/01  15:00:00,246265387.63792364,418515112.0229191 
 01/01  16:00:00,254182179.54391314,427077834.730506 
 01/01  17:00:00,376099105.93563929,541117780.6659957 
 01/01  18:00:00,407770200.0,598958382.3101888 
 01/01  19:00:00,407770200.0,598901644.2473383 
 01/01  20:00:00,407770200.0,599628785.9981606 
 01/01  21:00:00,407770200.0,599486061.9226666 
 01/01  22:00:00,407770200.0,599005028.5210788 
 01/01  23:00:00,407770200.0,598381340.5179552 
 01/01  24:00:00,407770200.0,600839979.4248229 
 01/02  01:00:00,407770200.0,598311688.2896974 
 01/02  02:00:00,407770200.0,598272537.8365772 
 01/02  03:00:00,407770200.0,598197005.1605232 
 01/02  04:00:00,407770200.0,598130493.4685625 
 01/02  05:00:00,407770200.0,598888252.9330306 
 01/02  06:00:00,407770200.0,598884584.0509169 
 01/02  07:00:00,407770200.0,642934322.4288673 
 01/02  08:00:00,368918064.8824486,578320624.425516 
 01/02  09:00:00,263474606.41252155,689085125.3525608 
 01/02  10:00:00,246732848.0560638,672072696.6215582 
 01/02  11:00:00,244036492.28584696,692251793.34331 
 01/02  12:00:00,243728661.86817736,709077079.5812574 
 01/02  13:00:00,243977448.6420959,712557170.4423101 
 01/02  14:00:00,241047778.4443406,696340120.5408582 
 01/02  15:00:00,245940701.01318253,688310058.8566507 
 01/02  16:00:00,253338313.859487,679684491.0218735 
 01/02  17:00:00,377459263.41457918,801929872.1962602 
 01/02  18:00:00,407770200.0,639033855.7369783 
 01/02  19:00:00,407770200.0,639209626.6546333 
 01/02  20:00:00,407770200.0,640174287.9666902 
 01/02  21:00:00,407770200.0,640244617.0318176 
 01/02  22:00:00,407770200.0,598732303.3664392 
 01/02  23:00:00,407770200.0,598301058.0504534 
 01/02  24:00:00,407770200.0,600946210.669987 
 01/03  01:00:00,407770200.0,598352822.015934 
 01/03  02:00:00,407770200.0,598374366.1082343 
 01/03  03:00:00,407770200.0,598452094.2469602 
 01/03  04:00:00,407770200.0,598557740.6248267 
 01/03  05:00:00,407770200.0,602497397.3112574 
 01/03  06:00:00,407770200.0,602070523.1799811 
 01/03  07:00:00,407770200.0,642462008.6582489 
 01/03  08:00:00,367908456.98651137,575403307.5285508 
 01/03  09:00:00,263987166.23257167,689326725.9481397 
 01/03  10:00:00,246321912.2833597,676158038.907714 
 01/03  11:00:00,243863355.48255105,687749801.0224996 
 01/03  12:00:00,240606108.70347188,703098283.7335191 
 01/03  13:00:00,243216091.68712364,728101256.8436421 
 01/03  14:00:00,243864152.2532068,728836360.4728844 
 01/03  15:00:00,246595209.05008749,736160030.4310713 
 01/03  16:00:00,255326404.597201,713306178.5886116 
 01/03  17:00:00,380587401.9073521,823833630.7987475 
 01/03  18:00:00,407770200.0,650035437.9821962 
 01/03  19:00:00,407770200.0,640651519.770478 
 01/03  20:00:00,407770200.0,639292033.4578803 
 01/03  21:00:00,407770200.0,639466558.6815935 
 01/03  22:00:00,407770200.0,598170428.0329218 
 01/03  23:00:00,407770200.0,598294624.9868257 
 01/03  24:00:00,407770200.0,600974409.6638486 
 01/04  01:00:00,407770200.0,598356051.9458448 
 01/04  02:00:00,407770200.0,598339905.6017811 
 01/04  03:00:00,407770200.0,598338193.192576 
 01/04  04:00:00,407770200.0,598288568.0548202 
 01/04  05:00:00,407770200.0,598970260.0281749 
 01/04  06:00:00,407770200.0,598907378.266887 
 01/04  07:00:00,407770200.0,643333671.494685 
 01/04  08:00:00,369878126.46554717,585938469.0363534 
 01/04  09:00:00,266804280.4587991,692845562.679299 
 01/04  10:00:00,250029455.42966239,675761974.499158 
 01/04  11:00:00,244257236.46762566,684168658.2776913 
 01/04  12:00:00,239338330.38649486,681625713.8123963 
 01/04  13:00:00,239565659.241666,679243082.5556072 
 01/04  14:00:00,240980930.7019576,667330650.780312 
 01/04  15:00:00,245567330.85422988,671253514.3028649 
 01/04  16:00:00,256070801.0370614,674174489.0238562 
 01/04  17:00:00,382967518.374498,807009175.6923095 
 01/04  18:00:00,407770200.0,639227757.7898707 
 01/04  19:00:00,407770200.0,639485469.6517167 
 01/04  20:00:00,407770200.0,640497864.9649646 
 01/04  21:00:00,407770200.0,640668933.156461 
 01/04  22:00:00,407770200.0,598721150.3945627 
 01/04  23:00:00,407770200.0,598244658.0338321 
 01/04  24:00:00,407770200.0,600908204.9204928 
 01/05  01:00:00,407770200.0,598302385.8690736 
 01/05  02:00:00,407770200.0,598297931.8646902 
 01/05  03:00:00,407770200.0,598233048.506849 
 01/05  04:00:00,407770200.0,598147967.0705936 
 01/05  05:00:00,407770200.0,598890922.6273569 
 01/05  06:00:00,407770200.0,598818658.7330799 
 01/05  07:00:00,407770200.0,643388468.6930795 
 01/05  08:00:00,370145144.72450438,586242503.0699976 
 01/05  09:00:00,263429226.21074415,689729815.2752166 
 01/05  10:00:00,246303048.82220418,672183430.8800057 
 01/05  11:00:00,243097004.85324187,683036806.7913492 
 01/05  12:00:00,243718599.819609,686296594.9476479 
 01/05  13:00:00,244797677.09256319,687383058.6381253 
 01/05  14:00:00,244920858.15503866,675955906.494581 
 01/05  15:00:00,246228382.38922329,678168441.658751 
 01/05  16:00:00,253563661.2223544,675562362.3017602 
 01/05  17:00:00,374587561.8358108,798577888.5196856 
 01/05  18:00:00,407770200.0,639088680.5304525 
 01/05  19:00:00,407770200.0,639393436.6779099 
 01/05  20:00:00,407770200.0,640399453.8222245 
 01/05  21:00:00,407770200.0,640617920.8858318 
 01/05  22:00:00,407770200.0,598655916.3707732 
 01/05  23:00:00,407770200.0,598225856.2038933 
 01/05  24:00:00,407770200.0,600881719.4521643 
 01/06  01:00:00,407770200.0,598259588.5400455 
 01/06  02:00:00,407770200.0,598251664.9304016 
 01/06  03:00:00,407770200.0,598240324.8773987 
 01/06  04:00:00,407770200.0,598233503.8337045 
 01/06  05:00:00,407770200.0,601891767.4176473 
 01/06  06:00:00,407770200.0,601563440.4100189 
 01/06  07:00:00,407770200.0,644476237.4076631 
 01/06  08:00:00,368782703.9888527,584988351.2506124 
 01/06  09:00:00,262329379.65189169,688665817.5844089 
 01/06  10:00:00,245572459.1243831,671498482.4281697 
 01/06  11:00:00,243828333.35769416,683940241.621591 
 01/06  12:00:00,244137960.08523245,686778003.8414537 
 01/06  13:00:00,240165812.12310977,680112881.9402894 
 01/06  14:00:00,241702780.21192546,668274360.1205347 
 01/06  15:00:00,245058771.45530058,672619950.9574208 
 01/06  16:00:00,251506134.21208016,670950143.8975409 
 01/06  17:00:00,375375547.5203931,793129639.4052017 
 01/06  18:00:00,407770200.0,639262603.2431043 
 01/06  19:00:00,407770200.0,639550209.2938 
 01/06  20:00:00,407770200.0,639802570.414957 
 01/06  21:00:00,407770200.0,640122506.9525178 
 01/06  22:00:00,407770200.0,598042181.6251044 
 01/06  23:00:00,407770200.0,598241798.028473 
 01/06  24:00:00,407770200.0,600928914.2894516 
 01/07  01:00:00,407770200.0,598350155.3099328 
 01/07  02:00:00,407770200.0,598360865.2472231 
 01/07  03:00:00,407770200.0,598296235.5010691 
 01/07  04:00:00,407770200.0,598254449.8615769 
 01/07  05:00:00,407770200.0,599031664.7625222 
 01/07  06:00:00,407770200.0,599001715.9682539 
 01/07  07:00:00,407770200.0,599054474.5890771 
 01/07  08:00:00,393286829.19937726,565446072.7583879 
 01/07  09:00:00,307192896.76748988,460455702.2186651 
 01/07  10:00:00,260926266.27094446,414272431.852784 
 01/07  11:00:00,247594402.72631196,400897273.43092468 
 01/07  12:00:00,261494043.52875067,417238824.44236519 
 01/07  13:00:00,246230200.96108849,399471536.9317869 
 01/07  14:00:00,242449048.53187988,395853127.1092469 
 01/07  15:00:00,244674368.21896703,398167860.8084572 
 01/07  16:00:00,249372185.32718323,402852613.49871537 
 01/07  17:00:00,375216473.35035917,528332574.1135061 
 01/07  18:00:00,407770200.0,598721640.5161693 
 01/07  19:00:00,407770200.0,598675812.6215944 
 01/07  20:00:00,407770200.0,599397242.4563289 
 01/07  21:00:00,407770200.0,599303304.3515586 
 01/07  22:00:00,407770200.0,598845893.2250822 
 01/07  23:00:00,407770200.0,598248620.1129379 
 01/07  24:00:00,407770200.0,600769471.892636 
 01/08  01:00:00,407770200.0,598182351.8574478 
 01/08  02:00:00,407770200.0,598155998.8171257 
 01/08  03:00:00,407770200.0,598134062.0222311 
 01/08  04:00:00,407770200.0,598123701.3336183 
 01/08  05:00:00,407770200.0,598872809.4670036 
 01/08  06:00:00,407770200.0,598804089.9069204 
 01/08  07:00:00,407770200.0,598837123.442517 
 01/08  08:00:00,370765296.3941942,542681448.6945232 
 01/08  09:00:00,264727362.7395036,417776025.91300037 
 01/08  10:00:00,248272421.1398927,401520929.36547717 
 01/08  11:00:00,244906615.91572476,398252155.8924485 
